日期,产品类别,地区,销售额,订单量,月份
2024-03-23,家用电器,华东,4725,27,2024-03
2024-03-23,家用电器,西部,4619,25,2024-03
2024-03-23,服装服饰,北方,8114,48,2024-03
2024-03-23,服装服饰,南方,7861,44,2024-03
2024-03-23,服装服饰,华东,7214,43,2024-03
2024-03-23,服装服饰,西部,5509,31,2024-03
2024-03-23,家居用品,北方,4202,20,2024-03
2024-03-23,家居用品,南方,2567,20,2024-03
2024-03-23,家居用品,华东,3658,20,2024-03
2024-03-23,家居用品,西部,3971,22,2024-03
2024-03-23,运动户外,北方,2921,20,2024-03
2024-03-23,运动户外,南方,3075,20,2024-03
2024-03-23,运动户外,华东,2713,20,2024-03
2024-03-23,运动户外,西部,2167,20,2024-03
2024-03-24,电子产品,北方,8331,45,2024-03
2024-03-24,电子产品,南方,8616,51,2024-03
2024-03-24,电子产品,华东,7663,34,2024-03
2024-03-24,电子产品,西部,8189,40,2024-03
2024-03-24,家用电器,北方,5450,24,2024-03
2024-03-24,家用电器,南方,4397,20,2024-03
2024-03-24,家用电器,华东,4960,27,2024-03
2024-03-24,家用电器,西部,4901,23,2024-03
2024-03-24,服装服饰,北方,7157,33,2024-03
2024-03-24,服装服饰,南方,6360,35,2024-03
2024-03-24,服装服饰,华东,7292,43,2024-03
2024-03-24,服装服饰,西部,5954,32,2024-03
2024-03-24,家居用品,北方,3311,20,2024-03
2024-03-24,家居用品,南方,3597,20,2024-03
2024-03-24,家居用品,华东,3594,20,2024-03
2024-03-24,家居用品,西部,3671,20,2024-03
2024-03-24,运动户外,北方,2671,20,2024-03
2024-03-24,运动户外,南方,2476,20,2024-03
2024-03-24,运动户外,华东,2551,20,2024-03
2024-03-24,运动户外,西部,2723,20,2024-03
2024-03-25,电子产品,北方,7261,41,2024-03
2024-03-25,电子产品,南方,7043,35,2024-03
2024-03-25,电子产品,华东,6335,29,2024-03
2024-03-25,电子产品,西部,6628,38,2024-03
2024-03-25,家用电器,北方,5003,27,2024-03
2024-03-25,家用电器,南方,3806,21,2024-03
2024-03-25,家用电器,华东,4091,23,2024-03
2024-03-25,家用电器,西部,3843,20,2024-03
2024-03-25,服装服饰,北方,5274,25,2024-03
2024-03-25,服装服饰,南方,5700,28,2024-03
2024-03-25,服装服饰,华东,5495,28,2024-03
2024-03-25,服装服饰,西部,5501,24,2024-03
2024-03-25,家居用品,北方,3387,20,2024-03
2024-03-25,家居用品,南方,2500,20,2024-03
2024-03-25,家居用品,华东,2701,20,2024-03
2024-03-25,家居用品,西部,3028,20,2024-03
2024-03-25,运动户外,北方,2286,20,2024-03
2024-03-25,运动户外,南方,1946,20,2024-03
2024-03-25,运动户外,华东,1683,20,2024-03
2024-03-25,运动户外,西部,1899,20,2024-03
2024-03-26,电子产品,北方,9012,36,2024-03
2024-03-26,电子产品,南方,6451,34,2024-03
2024-03-26,电子产品,华东,6328,26,2024-03
2024-03-26,电子产品,西部,6230,36,2024-03
2024-03-26,家用电器,北方,4332,22,2024-03
2024-03-26,家用电器,南方,4157,20,2024-03
2024-03-26,家用电器,华东,3686,20,2024-03
2024-03-26,家用电器,西部,4481,23,2024-03
2024-03-26,服装服饰,北方,6872,39,2024-03
2024-03-26,服装服饰,南方,4921,28,2024-03
2024-03-26,服装服饰,华东,5488,30,2024-03
2024-03-26,服装服饰,西部,5334,26,2024-03
2024-03-26,家居用品,北方,2933,20,2024-03
2024-03-26,家居用品,南方,2697,20,2024-03
2024-03-26,家居用品,华东,3042,20,2024-03
2024-03-26,家居用品,西部,2373,20,2024-03
2024-03-26,运动户外,北方,1954,20,2024-03
2024-03-26,运动户外,南方,2073,20,2024-03
2024-03-26,运动户外,华东,2053,20,2024-03
2024-03-26,运动户外,西部,2077,20,2024-03
2024-03-27,电子产品,北方,6747,38,2024-03
2024-03-27,电子产品,南方,5225,29,2024-03
2024-03-27,电子产品,华东,6390,30,2024-03
2024-03-27,电子产品,西部,6785,28,2024-03
2024-03-27,家用电器,北方,5343,27,2024-03
2024-03-27,家用电器,南方,4576,27,2024-03
2024-03-27,家用电器,华东,4154,24,2024-03
2024-03-27,家用电器,西部,3142,20,2024-03
2024-03-27,服装服饰,北方,5811,30,2024-03
2024-03-27,服装服饰,南方,5568,23,2024-03
2024-03-27,服装服饰,华东,4426,21,2024-03
2024-03-27,服装服饰,西部,4795,27,2024-03
2024-03-27,家居用品,北方,3392,20,2024-03
2024-03-27,家居用品,南方,2829,20,2024-03
2024-03-27,家居用品,华东,3109,20,2024-03
2024-03-27,家居用品,西部,2998,20,2024-03
2024-03-27,运动户外,北方,2532,20,2024-03
2024-03-27,运动户外,南方,2197,20,2024-03
2024-03-27,运动户外,华东,2203,20,2024-03
2024-03-27,运动户外,西部,2086,20,2024-03
2024-03-28,电子产品,北方,7926,42,2024-03
2024-03-28,电子产品,南方,6171,30,2024-03
2024-03-28,电子产品,华东,4592,25,2024-03
2024-03-28,电子产品,西部,5951,29,2024-03
2024-03-28,家用电器,北方,4510,20,2024-03
2024-03-28,家用电器,南方,3096,20,2024-03
2024-03-28,家用电器,华东,4436,24,2024-03
2024-03-28,家用电器,西部,3291,20,2024-03
2024-03-28,服装服饰,北方,7940,46,2024-03
2024-03-28,服装服饰,南方,5376,24,2024-03
2024-03-28,服装服饰,华东,4639,24,2024-03
2024-03-28,服装服饰,西部,6255,29,2024-03
2024-03-28,家居用品,北方,3180,20,2024-03
2024-03-28,家居用品,南方,2696,20,2024-03
2024-03-28,家居用品,华东,2002,20,2024-03
2024-03-28,家居用品,西部,2617,20,2024-03
2024-03-28,运动户外,北方,2535,20,2024-03
2024-03-28,运动户外,南方,2030,20,2024-03
2024-03-28,运动户外,华东,1693,20,2024-03
2024-03-28,运动户外,西部,1343,20,2024-03
2024-03-29,电子产品,北方,8870,46,2024-03
2024-03-29,电子产品,南方,6316,26,2024-03
2024-03-29,电子产品,华东,7378,33,2024-03
2024-03-29,电子产品,西部,6890,37,2024-03
2024-03-29,家用电器,北方,5519,25,2024-03
2024-03-29,家用电器,南方,4056,20,2024-03
2024-03-29,家用电器,华东,4203,24,2024-03
2024-03-29,家用电器,西部,3608,20,2024-03
2024-03-29,服装服饰,北方,5296,22,2024-03
2024-03-29,服装服饰,南方,4582,21,2024-03
2024-03-29,服装服饰,华东,5635,26,2024-03
2024-03-29,服装服饰,西部,5737,23,2024-03
2024-03-29,家居用品,北方,2923,20,2024-03
2024-03-29,家居用品,南方,2770,20,2024-03
2024-03-29,家居用品,华东,2707,20,2024-03
2024-03-29,家居用品,西部,2496,20,2024-03
2024-03-29,运动户外,北方,2492,20,2024-03
2024-03-29,运动户外,南方,2165,20,2024-03
2024-03-29,运动户外,华东,1927,20,2024-03
2024-03-29,运动户外,西部,1765,20,2024-03
2024-03-30,电子产品,北方,10117,46,2024-03
2024-03-30,电子产品,南方,7946,45,2024-03
2024-03-30,电子产品,华东,8697,37,2024-03
2024-03-30,电子产品,西部,8816,50,2024-03
2024-03-30,家用电器,北方,5922,33,2024-03
2024-03-30,家用电器,南方,4699,25,2024-03
2024-03-30,家用电器,华东,5258,22,2024-03
2024-03-30,家用电器,西部,5784,25,2024-03
2024-03-30,服装服饰,北方,8536,49,2024-03
2024-03-30,服装服饰,南方,8024,43,2024-03
2024-03-30,服装服饰,华东,6853,27,2024-03
2024-03-30,服装服饰,西部,7615,40,2024-03
2024-03-30,家居用品,北方,4060,20,2024-03
2024-03-30,家居用品,南方,3381,20,2024-03
2024-03-30,家居用品,华东,3117,20,2024-03
2024-03-30,家居用品,西部,3691,20,2024-03
2024-03-30,运动户外,北方,2994,20,2024-03
2024-03-30,运动户外,南方,2664,20,2024-03
2024-03-30,运动户外,华东,2438,20,2024-03
2024-03-30,运动户外,西部,2561,20,2024-03
2024-03-31,电子产品,北方,10578,57,2024-03
2024-03-31,电子产品,南方,8017,41,2024-03
2024-03-31,电子产品,华东,8694,41,2024-03
2024-03-31,电子产品,西部,8229,43,2024-03
2024-03-31,家用电器,北方,6216,32,2024-03
2024-03-31,家用电器,南方,4401,24,2024-03
2024-03-31,家用电器,华东,4545,22,2024-03
2024-03-31,家用电器,西部,5945,28,2024-03
2024-03-31,服装服饰,北方,7493,30,2024-03
2024-03-31,服装服饰,南方,5581,31,2024-03
2024-03-31,服装服饰,华东,7327,43,2024-03
2024-03-31,服装服饰,西部,6812,36,2024-03
2024-03-31,家居用品,北方,4386,21,2024-03
2024-03-31,家居用品,南方,3513,20,2024-03
2024-03-31,家居用品,华东,3347,20,2024-03
2024-03-31,家居用品,西部,3361,20,2024-03
2024-03-31,运动户外,北方,2877,20,2024-03
2024-03-31,运动户外,南方,2999,20,2024-03
2024-03-31,运动户外,华东,2956,20,2024-03
2024-03-31,运动户外,西部,2387,20,2024-03
2024-04-01,电子产品,北方,7683,43,2024-04
2024-04-01,电子产品,南方,7966,46,2024-04
2024-04-01,电子产品,华东,6647,37,2024-04
2024-04-01,电子产品,西部,6696,36,2024-04
2024-04-01,家用电器,北方,5030,28,2024-04
2024-04-01,家用电器,南方,3700,21,2024-04
2024-04-01,家用电器,华东,3435,20,2024-04
2024-04-01,家用电器,西部,3291,20,2024-04
2024-04-01,服装服饰,北方,4789,26,2024-04
2024-04-01,服装服饰,南方,4897,27,2024-04
2024-04-01,服装服饰,华东,4902,27,2024-04
2024-04-01,服装服饰,西部,4297,21,2024-04
2024-04-01,家居用品,北方,2927,20,2024-04
2024-04-01,家居用品,南方,2308,20,2024-04
2024-04-01,家居用品,华东,2439,20,2024-04
2024-04-01,家居用品,西部,2143,20,2024-04
2024-04-01,运动户外,北方,2178,20,2024-04
2024-04-01,运动户外,南方,1802,20,2024-04
2024-04-01,运动户外,华东,2198,20,2024-04
2024-04-01,运动户外,西部,2267,20,2024-04
2024-04-02,电子产品,北方,6659,29,2024-04
2024-04-02,电子产品,南方,6018,35,2024-04
2024-04-02,电子产品,华东,6663,36,2024-04
2024-04-02,电子产品,西部,6367,34,2024-04
2024-04-02,家用电器,北方,4156,20,2024-04
2024-04-02,家用电器,南方,4172,20,2024-04
2024-04-02,家用电器,华东,3923,23,2024-04
2024-04-02,家用电器,西部,3324,20,2024-04
2024-04-02,服装服饰,北方,7367,36,2024-04
2024-04-02,服装服饰,南方,4113,20,2024-04
2024-04-02,服装服饰,华东,4050,20,2024-04
2024-04-02,服装服饰,西部,4956,21,2024-04
2024-04-02,家居用品,北方,2694,20,2024-04
2024-04-02,家居用品,南方,2550,20,2024-04
2024-04-02,家居用品,华东,2343,20,2024-04
2024-04-02,家居用品,西部,2330,20,2024-04
2024-04-02,运动户外,北方,2627,20,2024-04
2024-04-02,运动户外,南方,1979,20,2024-04
2024-04-02,运动户外,华东,2256,20,2024-04
2024-04-02,运动户外,西部,1957,20,2024-04
2024-04-03,电子产品,北方,10044,58,2024-04
2024-04-03,电子产品,南方,6711,37,2024-04
2024-04-03,电子产品,华东,6892,31,2024-04
2024-04-03,电子产品,西部,7045,29,2024-04
2024-04-03,家用电器,北方,3982,22,2024-04
2024-04-03,家用电器,南方,3952,20,2024-04
2024-04-03,家用电器,华东,4276,24,2024-04
2024-04-03,家用电器,西部,3179,20,2024-04
2024-04-03,服装服饰,北方,6761,31,2024-04
2024-04-03,服装服饰,南方,4825,23,2024-04
2024-04-03,服装服饰,华东,5587,30,2024-04
2024-04-03,服装服饰,西部,5256,31,2024-04
2024-04-03,家居用品,北方,3008,20,2024-04
2024-04-03,家居用品,南方,2112,20,2024-04
2024-04-03,家居用品,华东,2892,20,2024-04
2024-04-03,家居用品,西部,2268,20,2024-04
2024-04-03,运动户外,北方,2533,20,2024-04
2024-04-03,运动户外,南方,2042,20,2024-04
2024-04-03,运动户外,华东,2071,20,2024-04
2024-04-03,运动户外,西部,1942,20,2024-04
2024-04-04,电子产品,北方,8808,38,2024-04
2024-04-04,电子产品,南方,6952,32,2024-04
2024-04-04,电子产品,华东,5980,30,2024-04
2024-04-04,电子产品,西部,7818,33,2024-04
2024-04-04,家用电器,北方,4998,29,2024-04
2024-04-04,家用电器,南方,3963,20,2024-04
2024-04-04,家用电器,华东,3849,21,2024-04
2024-04-04,家用电器,西部,3345,20,2024-04
2024-04-04,服装服饰,北方,6382,28,2024-04
2024-04-04,服装服饰,南方,4243,21,2024-04
2024-04-04,服装服饰,华东,4952,29,2024-04
2024-04-04,服装服饰,西部,5461,30,2024-04
2024-04-04,家居用品,北方,2529,20,2024-04
2024-04-04,家居用品,南方,2775,20,2024-04
2024-04-04,家居用品,华东,2412,20,2024-04
2024-04-04,家居用品,西部,2586,20,2024-04
2024-04-04,运动户外,北方,2588,20,2024-04
2024-04-04,运动户外,南方,2091,20,2024-04
2024-04-04,运动户外,华东,1778,20,2024-04
2024-04-04,运动户外,西部,1957,20,2024-04
2024-04-05,电子产品,北方,7824,38,2024-04
2024-04-05,电子产品,南方,6746,35,2024-04
2024-04-05,电子产品,华东,7040,36,2024-04
2024-04-05,电子产品,西部,5515,28,2024-04
2024-04-05,家用电器,北方,4340,20,2024-04
2024-04-05,家用电器,南方,3333,20,2024-04
2024-04-05,家用电器,华东,3980,20,2024-04
2024-04-05,家用电器,西部,3360,20,2024-04
2024-04-05,服装服饰,北方,6926,35,2024-04
2024-04-05,服装服饰,南方,4873,24,2024-04
2024-04-05,服装服饰,华东,5199,29,2024-04
2024-04-05,服装服饰,西部,5022,29,2024-04
2024-04-05,家居用品,北方,2961,20,2024-04
2024-04-05,家居用品,南方,2857,20,2024-04
2024-04-05,家居用品,华东,2393,20,2024-04
2024-04-05,家居用品,西部,2314,20,2024-04
2024-04-05,运动户外,北方,2642,20,2024-04
2024-04-05,运动户外,南方,1993,20,2024-04
2024-04-05,运动户外,华东,1969,20,2024-04
2024-04-05,运动户外,西部,1976,20,2024-04
2024-04-06,电子产品,北方,10579,50,2024-04
2024-04-06,电子产品,南方,11143,59,2024-04
2024-04-06,电子产品,华东,8572,40,2024-04
2024-04-06,电子产品,西部,7140,33,2024-04
2024-04-06,家用电器,北方,5552,26,2024-04
2024-04-06,家用电器,南方,4453,20,2024-04
2024-04-06,家用电器,华东,4293,20,2024-04
2024-04-06,家用电器,西部,4516,20,2024-04
2024-04-06,服装服饰,北方,8812,37,2024-04
2024-04-06,服装服饰,南方,5465,23,2024-04
2024-04-06,服装服饰,华东,5649,22,2024-04
2024-04-06,服装服饰,西部,6456,36,2024-04
2024-04-06,家居用品,北方,3518,20,2024-04
2024-04-06,家居用品,南方,2983,20,2024-04
2024-04-06,家居用品,华东,2968,20,2024-04
2024-04-06,家居用品,西部,2781,20,2024-04
2024-04-06,运动户外,北方,2750,20,2024-04
2024-04-06,运动户外,南方,2547,20,2024-04
2024-04-06,运动户外,华东,2902,20,2024-04
2024-04-06,运动户外,西部,2650,20,2024-04
2024-04-07,电子产品,北方,11504,57,2024-04
2024-04-07,电子产品,南方,8849,50,2024-04
2024-04-07,电子产品,华东,8611,43,2024-04
2024-04-07,电子产品,西部,7076,41,2024-04
2024-04-07,家用电器,北方,6948,40,2024-04
2024-04-07,家用电器,南方,4997,20,2024-04
2024-04-07,家用电器,华东,4268,20,2024-04
2024-04-07,家用电器,西部,5172,24,2024-04
2024-04-07,服装服饰,北方,7643,35,2024-04
2024-04-07,服装服饰,南方,6770,30,2024-04
2024-04-07,服装服饰,华东,7417,35,2024-04
2024-04-07,服装服饰,西部,6748,38,2024-04
2024-04-07,家居用品,北方,4100,20,2024-04
2024-04-07,家居用品,南方,2955,20,2024-04
2024-04-07,家居用品,华东,2973,20,2024-04
2024-04-07,家居用品,西部,2594,20,2024-04
2024-04-07,运动户外,北方,3115,20,2024-04
2024-04-07,运动户外,南方,2441,20,2024-04
2024-04-07,运动户外,华东,2189,20,2024-04
2024-04-07,运动户外,西部,2740,20,2024-04
2024-04-08,电子产品,北方,8954,39,2024-04
2024-04-08,电子产品,南方,5677,24,2024-04
2024-04-08,电子产品,华东,6566,35,2024-04
2024-04-08,电子产品,西部,6945,36,2024-04
2024-04-08,家用电器,北方,5370,26,2024-04
2024-04-08,家用电器,南方,3256,20,2024-04
2024-04-08,家用电器,华东,4105,20,2024-04
2024-04-08,家用电器,西部,3574,20,2024-04
2024-04-08,服装服饰,北方,5391,30,2024-04
2024-04-08,服装服饰,南方,4523,21,2024-04
2024-04-08,服装服饰,华东,5136,27,2024-04
2024-04-08,服装服饰,西部,5411,31,2024-04
2024-04-08,家居用品,北方,2867,20,2024-04
2024-04-08,家居用品,南方,1928,20,2024-04
2024-04-08,家居用品,华东,2433,20,2024-04
2024-04-08,家居用品,西部,2321,20,2024-04
2024-04-08,运动户外,北方,2244,20,2024-04
2024-04-08,运动户外,南方,1386,20,2024-04
2024-04-08,运动户外,华东,2141,20,2024-04
2024-04-08,运动户外,西部,2028,20,2024-04
2024-04-09,电子产品,北方,8357,39,2024-04
2024-04-09,电子产品,南方,6465,31,2024-04
2024-04-09,电子产品,华东,7199,31,2024-04
2024-04-09,电子产品,西部,5384,28,2024-04
2024-04-09,家用电器,北方,4352,24,2024-04
2024-04-09,家用电器,南方,3959,21,2024-04
2024-04-09,家用电器,华东,3754,20,2024-04
2024-04-09,家用电器,西部,3840,20,2024-04
2024-04-09,服装服饰,北方,6632,29,2024-04
2024-04-09,服装服饰,南方,5573,24,2024-04
2024-04-09,服装服饰,华东,4593,21,2024-04
2024-04-09,服装服饰,西部,5105,26,2024-04
2024-04-09,家居用品,北方,3069,20,2024-04
2024-04-09,家居用品,南方,2251,20,2024-04
2024-04-09,家居用品,华东,2632,20,2024-04
2024-04-09,家居用品,西部,2571,20,2024-04
2024-04-09,运动户外,北方,2323,20,2024-04
2024-04-09,运动户外,南方,2133,20,2024-04
2024-04-09,运动户外,华东,1707,20,2024-04
2024-04-09,运动户外,西部,1596,20,2024-04
2024-04-10,电子产品,北方,7599,31,2024-04
2024-04-10,电子产品,南方,6449,36,2024-04
2024-04-10,电子产品,华东,6975,37,2024-04
2024-04-10,电子产品,西部,6795,30,2024-04
2024-04-10,家用电器,北方,5033,26,2024-04
2024-04-10,家用电器,南方,3757,20,2024-04
2024-04-10,家用电器,华东,3859,20,2024-04
2024-04-10,家用电器,西部,3672,20,2024-04
2024-04-10,服装服饰,北方,7036,30,2024-04
2024-04-10,服装服饰,南方,4828,26,2024-04
2024-04-10,服装服饰,华东,5154,22,2024-04
2024-04-10,服装服饰,西部,5699,34,2024-04
2024-04-10,家居用品,北方,3501,20,2024-04
2024-04-10,家居用品,南方,2325,20,2024-04
2024-04-10,家居用品,华东,2277,20,2024-04
2024-04-10,家居用品,西部,2617,20,2024-04
2024-04-10,运动户外,北方,2402,20,2024-04
2024-04-10,运动户外,南方,1955,20,2024-04
2024-04-10,运动户外,华东,2091,20,2024-04
2024-04-10,运动户外,西部,1909,20,2024-04
2024-04-11,电子产品,北方,8294,34,2024-04
2024-04-11,电子产品,南方,7090,39,2024-04
2024-04-11,电子产品,华东,6942,27,2024-04
2024-04-11,电子产品,西部,5965,29,2024-04
2024-04-11,家用电器,北方,4292,23,2024-04
2024-04-11,家用电器,南方,4222,23,2024-04
2024-04-11,家用电器,华东,4219,20,2024-04
2024-04-11,家用电器,西部,4193,20,2024-04
2024-04-11,服装服饰,北方,5679,24,2024-04
2024-04-11,服装服饰,南方,4646,22,2024-04
2024-04-11,服装服饰,华东,5551,29,2024-04
2024-04-11,服装服饰,西部,4845,26,2024-04
2024-04-11,家居用品,北方,3552,20,2024-04
2024-04-11,家居用品,南方,2469,20,2024-04
2024-04-11,家居用品,华东,2105,20,2024-04
2024-04-11,家居用品,西部,2444,20,2024-04
2024-04-11,运动户外,北方,2495,20,2024-04
2024-04-11,运动户外,南方,2076,20,2024-04
2024-04-11,运动户外,华东,1718,20,2024-04
2024-04-11,运动户外,西部,1795,20,2024-04
2024-04-12,电子产品,北方,6484,34,2024-04
2024-04-12,电子产品,南方,6710,31,2024-04
2024-04-12,电子产品,华东,5550,33,2024-04
2024-04-12,电子产品,西部,5993,23,2024-04
2024-04-12,家用电器,北方,5078,25,2024-04
2024-04-12,家用电器,南方,3657,20,2024-04
2024-04-12,家用电器,华东,3558,20,2024-04
2024-04-12,家用电器,西部,4323,25,2024-04
2024-04-12,服装服饰,北方,6219,29,2024-04
2024-04-12,服装服饰,南方,5247,21,2024-04
2024-04-12,服装服饰,华东,5246,31,2024-04
2024-04-12,服装服饰,西部,4095,20,2024-04
2024-04-12,家居用品,北方,3338,20,2024-04
2024-04-12,家居用品,南方,2392,20,2024-04
2024-04-12,家居用品,华东,2580,20,2024-04
2024-04-12,家居用品,西部,2711,20,2024-04
2024-04-12,运动户外,北方,1971,20,2024-04
2024-04-12,运动户外,南方,1972,20,2024-04
2024-04-12,运动户外,华东,2029,20,2024-04
2024-04-12,运动户外,西部,1904,20,2024-04
2024-04-13,电子产品,北方,9423,50,2024-04
2024-04-13,电子产品,南方,8738,46,2024-04
2024-04-13,电子产品,华东,8730,49,2024-04
2024-04-13,电子产品,西部,8434,48,2024-04
2024-04-13,家用电器,北方,5905,31,2024-04
2024-04-13,家用电器,南方,4645,23,2024-04
2024-04-13,家用电器,华东,5584,27,2024-04
2024-04-13,家用电器,西部,4783,20,2024-04
2024-04-13,服装服饰,北方,7160,37,2024-04
2024-04-13,服装服饰,南方,6398,34,2024-04
2024-04-13,服装服饰,华东,7900,46,2024-04
2024-04-13,服装服饰,西部,5902,29,2024-04
2024-04-13,家居用品,北方,4185,20,2024-04
2024-04-13,家居用品,南方,3698,20,2024-04
2024-04-13,家居用品,华东,3302,20,2024-04
2024-04-13,家居用品,西部,3565,20,2024-04
2024-04-13,运动户外,北方,3102,20,2024-04
2024-04-13,运动户外,南方,2138,20,2024-04
2024-04-13,运动户外,华东,2163,20,2024-04
2024-04-13,运动户外,西部,2584,20,2024-04
2024-04-14,电子产品,北方,11089,63,2024-04
2024-04-14,电子产品,南方,8258,35,2024-04
2024-04-14,电子产品,华东,7775,35,2024-04
2024-04-14,电子产品,西部,8437,47,2024-04
2024-04-14,家用电器,北方,6788,27,2024-04
2024-04-14,家用电器,南方,5379,22,2024-04
2024-04-14,家用电器,华东,5269,23,2024-04
2024-04-14,家用电器,西部,3826,22,2024-04
2024-04-14,服装服饰,北方,9060,43,2024-04
2024-04-14,服装服饰,南方,5522,27,2024-04
2024-04-14,服装服饰,华东,5850,33,2024-04
2024-04-14,服装服饰,西部,6678,28,2024-04
2024-04-14,家居用品,北方,4023,22,2024-04
2024-04-14,家居用品,南方,3532,20,2024-04
2024-04-14,家居用品,华东,3107,20,2024-04
2024-04-14,家居用品,西部,3353,20,2024-04
2024-04-14,运动户外,北方,2710,20,2024-04
2024-04-14,运动户外,南方,2361,20,2024-04
2024-04-14,运动户外,华东,2033,20,2024-04
2024-04-14,运动户外,西部,2804,20,2024-04
2024-04-15,电子产品,北方,7323,38,2024-04
2024-04-15,电子产品,南方,6240,26,2024-04
2024-04-15,电子产品,华东,7665,34,2024-04
2024-04-15,电子产品,西部,6127,26,2024-04
2024-04-15,家用电器,北方,4626,22,2024-04
2024-04-15,家用电器,南方,3827,20,2024-04
2024-04-15,家用电器,华东,3459,20,2024-04
2024-04-15,家用电器,西部,3686,20,2024-04
2024-04-15,服装服饰,北方,7085,36,2024-04
2024-04-15,服装服饰,南方,5369,25,2024-04
2024-04-15,服装服饰,华东,5990,32,2024-04
2024-04-15,服装服饰,西部,4875,26,2024-04
2024-04-15,家居用品,北方,3183,20,2024-04
2024-04-15,家居用品,南方,2549,20,2024-04
2024-04-15,家居用品,华东,2785,20,2024-04
2024-04-15,家居用品,西部,2438,20,2024-04
2024-04-15,运动户外,北方,2506,20,2024-04
2024-04-15,运动户外,南方,2018,20,2024-04
2024-04-15,运动户外,华东,1893,20,2024-04
2024-04-15,运动户外,西部,2083,20,2024-04
2024-04-16,电子产品,北方,7889,35,2024-04
2024-04-16,电子产品,南方,7534,40,2024-04
2024-04-16,电子产品,华东,7639,42,2024-04
2024-04-16,电子产品,西部,6257,34,2024-04
2024-04-16,家用电器,北方,4604,24,2024-04
2024-04-16,家用电器,南方,4183,20,2024-04
2024-04-16,家用电器,华东,3548,20,2024-04
2024-04-16,家用电器,西部,3605,20,2024-04
2024-04-16,服装服饰,北方,5951,31,2024-04
2024-04-16,服装服饰,南方,4452,26,2024-04
2024-04-16,服装服饰,华东,4817,28,2024-04
2024-04-16,服装服饰,西部,5070,27,2024-04
2024-04-16,家居用品,北方,3090,20,2024-04
2024-04-16,家居用品,南方,2509,20,2024-04
2024-04-16,家居用品,华东,2277,20,2024-04
2024-04-16,家居用品,西部,2114,20,2024-04
2024-04-16,运动户外,北方,2410,20,2024-04
2024-04-16,运动户外,南方,1972,20,2024-04
2024-04-16,运动户外,华东,1937,20,2024-04
2024-04-16,运动户外,西部,1563,20,2024-04
2024-04-17,电子产品,北方,8477,44,2024-04
2024-04-17,电子产品,南方,6084,35,2024-04
2024-04-17,电子产品,华东,5734,27,2024-04
2024-04-17,电子产品,西部,6600,38,2024-04
2024-04-17,家用电器,北方,4051,20,2024-04
2024-04-17,家用电器,南方,3522,20,2024-04
2024-04-17,家用电器,华东,3300,20,2024-04
2024-04-17,家用电器,西部,4321,22,2024-04
2024-04-17,服装服饰,北方,5400,24,2024-04
2024-04-17,服装服饰,南方,4766,21,2024-04
2024-04-17,服装服饰,华东,4831,26,2024-04
2024-04-17,服装服饰,西部,4121,20,2024-04
2024-04-17,家居用品,北方,3276,20,2024-04
